membership_id,agreement_id,country_id,member_type,mem_start,mem_end,mem_step,notes
212,3,34,1,1976-07-02,NULL,9,NULL
213,3,35,1,1976-09-21,NULL,9,NULL
214,3,36,1,1977-09-27,NULL,9,NULL
215,3,39,1,1981-01-22,NULL,9,NULL
216,4,158,1,1984-06-28,NULL,9,NULL
217,4,22,1,1984-02-29,1992-09-30,9,NULL
218,4,1,1,1984-10-11,NULL,9,NULL
219,4,2,1,1985-09-11,NULL,9,NULL
220,4,27,1,1984-01-06,NULL,9,NULL
221,4,19,1,1983-09-22,NULL,9,NULL
222,4,20,1,1983-07-27,NULL,9,NULL
223,4,3,1,1983-12-21,NULL,9,NULL
224,4,5,1,1983-09-22,NULL,9,NULL
225,4,6,1,1985-02-20,NULL,2,NULL
226,4,7,1,1983-09-30,NULL,9,NULL
227,4,8,1,1983-12-02,NULL,9,NULL
228,4,9,1,1983-08-01,NULL,9,NULL
229,4,167,1,1983-11-07,NULL,2,NULL
230,4,10,1,1983-09-29,NULL,9,NULL
231,4,23,1,1983-09-27,NULL,2,NULL
232,4,38,1,1983-10-04,NULL,9,NULL
233,4,11,1,1983-09-22,NULL,9,NULL
234,4,92,1,1983-08-26,NULL,2,NULL
235,4,12,1,1984-03-14,NULL,9,NULL
236,4,13,1,1983-12-28,NULL,9,NULL
237,4,14,1,1983-09-09,NULL,9,NULL
238,4,15,1,1983-09-29,NULL,9,NULL
239,4,100,1,1984-03-06,NULL,9,NULL
240,4,37,1,1984-03-02,NULL,9,NULL
241,4,25,1,1983-09-06,NULL,9,NULL
242,4,109,1,1983-09-21,NULL,9,NULL
243,4,16,1,1984-03-21,NULL,9,NULL
244,4,17,1,1983-09-23,NULL,9,NULL
245,4,18,1,1984-05-31,NULL,2,NULL
246,4,29,1,1984-10-25,NULL,9,NULL
247,4,166,1,1983-06-28,NULL,9,NULL
248,4,122,1,1984-06-15,NULL,9,NULL
249,4,30,1,1983-12-20,NULL,9,NULL
250,4,123,1,1984-02-06,NULL,9,NULL
251,4,28,1,1983-09-29,NULL,9,NULL
252,4,32,1,1983-04-30,NULL,2,NULL
253,4,83,1,1983-12-30,NULL,9,NULL
254,4,33,1,1983-09-28,NULL,9,NULL
255,4,140,1,1983-09-15,NULL,9,NULL
256,4,26,1,1984-06-04,NULL,9,NULL
257,4,34,1,1983-09-29,NULL,9,NULL
258,4,35,1,1983-09-28,NULL,9,NULL
259,4,36,1,1984-10-02,NULL,9,NULL
260,4,149,1,1985-01-07,NULL,9,NULL
261,4,39,1,1984-03-05,NULL,9,NULL
262,5,158,1,1995-06-07,NULL,1,NULL
263,5,22,1,1999-08-19,NULL,1,NULL
264,5,1,1,1995-07-28,NULL,9,NULL
265,5,2,1,1995-09-25,NULL,9,NULL
266,5,27,1,1995-09-22,NULL,1,NULL
267,5,19,1,1996-07-30,NULL,2,NULL
268,5,20,1,1996-05-21,NULL,3,NULL
269,5,3,1,1996-06-14,NULL,9,NULL
270,5,5,1,1996-05-15,NULL,9,NULL
271,5,24,1,1994-09-23,NULL,9,NULL
272,5,6,1,1995-02-09,NULL,9,NULL
273,5,7,1,1996-08-23,NULL,9,NULL
274,5,8,1,1994-11-08,NULL,9,NULL
275,5,9,1,1995-04-05,NULL,9,NULL
276,5,167,1,1995-04-27,NULL,2,NULL
277,5,10,1,1995-07-26,NULL,9,NULL
278,5,23,1,1995-02-17,NULL,2,NULL
279,5,38,1,1997-09-18,NULL,9,NULL
280,5,11,1,1996-10-02,NULL,9,NULL
281,5,92,1,1995-04-12,NULL,1,NULL
282,5,12,1,1996-01-03,NULL,2,NULL
283,5,13,1,1996-09-13,NULL,9,NULL
284,5,14,1,1994-09-16,NULL,9,NULL
285,5,15,1,1995-02-17,NULL,9,NULL
286,5,100,1,1994-09-26,NULL,9,NULL
287,5,37,1,1994-08-10,NULL,9,NULL
288,5,25,1,1998-05-08,NULL,9,NULL
289,5,109,1,1994-09-13,NULL,9,NULL
290,5,16,1,1996-02-09,NULL,2,NULL
291,5,17,1,1997-03-24,NULL,2,NULL
292,5,18,1,1995-09-21,NULL,2,NULL
293,5,166,1,1995-09-01,NULL,1,NULL
294,5,122,1,1998-09-24,NULL,9,NULL
295,5,123,1,1996-11-18,NULL,2,NULL
296,5,28,1,1995-09-11,NULL,2,NULL
297,5,33,1,1995-09-18,NULL,9,NULL
298,5,140,1,1995-03-21,NULL,2,NULL
299,5,26,1,1995-10-13,NULL,1,NULL
300,5,34,1,1994-09-26,1994-03-27,9,NULL
301,5,35,1,1994-09-26,NULL,9,NULL
302,5,36,1,1995-08-18,NULL,9,NULL
303,5,145,1,1996-10-14,NULL,2,NULL
304,5,149,1,1995-03-07,NULL,2,NULL
305,5,39,1,1996-06-28,NULL,2,NULL
306,6,158,1,2002-01-02,NULL,2,NULL
307,6,22,1,2003-03-21,NULL,2,NULL
308,6,1,1,2002-05-30,NULL,2,NULL
309,6,2,1,2001-09-21,NULL,9,NULL
310,6,27,1,2001-09-24,NULL,1,NULL
311,6,19,1,2002-05-28,NULL,2,NULL
312,6,20,1,2002-12-19,NULL,2,NULL
313,6,3,1,2004-02-17,NULL,9,NULL
314,6,5,1,2002-09-25,NULL,9,NULL
315,6,24,1,2002-01-29,NULL,3,NULL
316,6,6,1,2001-12-26,NULL,9,NULL
317,6,7,1,2004-03-05,NULL,9,NULL
318,6,8,1,2002-02-05,NULL,9,NULL
319,6,9,1,2002-01-25,NULL,2,NULL
320,6,10,1,2003-04-16,NULL,9,NULL
321,6,23,1,2001-09-25,NULL,1,NULL
322,6,38,1,2006-05-31,NULL,9,NULL
323,6,11,1,2003-02-05,NULL,2,NULL
324,6,92,1,2003-05-21,NULL,2,NULL
325,6,12,1,2002-09-24,NULL,2,NULL
326,6,13,1,2002-09-24,NULL,9,NULL
327,6,14,1,2001-09-10,NULL,9,NULL
328,6,15,1,2002-08-23,NULL,2,NULL
329,6,100,1,2001-11-01,NULL,9,NULL
330,6,37,1,2001-11-01,NULL,2,NULL
331,6,25,1,2001-09-24,NULL,1,NULL
332,6,109,1,2003-02-12,NULL,2,NULL
333,6,16,1,2002-07-09,NULL,9,NULL
334,6,17,1,2002-12-12,NULL,2,NULL
335,6,18,1,2002-02-26,NULL,2,NULL
336,6,29,1,2006-07-26,NULL,2,NULL
337,6,166,1,2002-01-23,NULL,2,NULL
338,6,122,1,2004-03-10,NULL,2,NULL
339,6,123,1,2002-05-28,NULL,2,NULL
340,6,28,1,2001-09-13,NULL,9,NULL
341,6,33,1,2002-10-31,NULL,9,NULL
342,6,140,1,2001-09-24,NULL,9,NULL
343,6,26,1,2003-05-09,NULL,2,NULL
344,6,35,1,2001-10-05,NULL,9,NULL
345,6,36,1,2004-07-08,NULL,2,NULL
346,6,145,1,2002-05-02,NULL,3,NULL
347,6,149,1,2003-03-26,NULL,2,NULL
348,6,39,1,2004-06-03,NULL,2,NULL
349,7,158,1,2009-09-22,2020-09-24,3,NULL
350,7,1,1,2014-09-22,2020-09-24,9,NULL
351,7,2,1,2011-02-02,NULL,9,NULL
352,7,27,1,2009-09-21,NULL,1,NULL
353,7,19,1,2012-09-17,NULL,9,NULL
354,7,20,1,2010-08-24,NULL,9,NULL
355,7,3,1,2015-07-22,NULL,9,NULL
356,7,5,1,2009-12-11,NULL,9,NULL
357,7,24,1,2008-10-15,NULL,3,NULL
358,7,6,1,2008-12-04,NULL,9,NULL
359,7,8,1,2008-09-30,NULL,9,NULL
360,7,9,1,2008-12-04,NULL,9,NULL
361,7,10,1,2010-07-08,NULL,9,NULL
362,7,23,1,2009-02-25,NULL,1,NULL
363,7,38,1,2009-08-17,NULL,9,NULL
364,7,11,1,2011-03-23,2020-09-30,9,NULL
365,7,13,1,2010-06-07,NULL,9,NULL
366,7,14,1,2008-09-22,NULL,9,NULL
367,7,15,1,2009-02-05,NULL,9,NULL
368,7,37,1,2008-05-22,NULL,9,NULL
